Publisher_ID,Image,Friends,Followers,Sticker,Political_Profile_Pic,Tricky_Name,Has_username,Political_Feed,Bot
100009534802279,1,554,0,1,0,0,0,1,1
100009032616586,1,1835,307,0,1,0,0,0,0
100001912722840,1,0,508,1,0,1,1,0,0
1054155666,1,0,0,1,1,1,1,1,0
100040122383962,0,120,0,0,0,1,0,1,1
100023562040257,0,0,0,0,1,1,1,1,1
100010871288955,1,2099,0,0,0,0,0,1,1
1078452153,1,701,0,1,1,0,1,1,0
551890068,1,0,479,1,0,1,0,1,0
100001050973146,1,0,0,1,1,0,1,1,0
100028828251277,1,2025,0,1,0,1,0,0,0
100045253423657,1,346,0,1,0,1,0,1,1
100009862270506,1,0,0,1,0,0,0,0,0
100006557311478,0,283,0,0,0,0,0,0,0
100029125505501,0,3565,0,1,1,0,0,1,1
1102171568,1,0,0,1,1,0,1,0,0
100000160742150,1,0,0,0,0,0,1,0,0
100006139867425,1,1238,0,1,0,0,1,1,0
748832485,1,0,0,0,0,0,1,0,0
100014272788514,0,97,0,0,0,0,0,0,0
100033518764030,1,5000,0,1,0,0,1,0,0
1349520272,1,0,0,1,0,0,1,0,0
100000821392918,1,0,258,1,1,0,0,1,0
100028228110069,1,0,0,1,0,0,0,1,0
100016145703013,1,0,0,0,1,0,0,0,0
683140309,1,0,1220,1,1,0,0,0,0
1091673256,0,0,0,1,0,0,1,0,0
100042641174714,1,0,0,0,0,0,0,0,1
100000647951727,1,4767,533,0,1,0,1,1,0
623888429,1,5000,2834,1,0,0,1,1,0
1013429786,0,826,0,1,0,0,1,0,0
1044578075,1,0,404,1,0,0,1,1,0
100002200337928,1,0,0,1,0,0,1,0,0
100004310710769,1,0,0,0,0,0,1,0,0
1098916466,1,0,0,0,0,0,0,0,0
100001344896945,1,0,0,1,1,0,0,0,0
100013546235760,1,0,505,1,0,0,0,1,0
100039323655038,0,1565,0,0,1,0,0,0,1
1521102411,1,0,0,0,0,0,1,1,0
566386988,1,0,0,1,0,0,1,1,0
